sofifa_id,long_name,league_name,nationality_name,goals
143076,Alejandro Darío Gómez,Spain Primera Division,Argentina,
231478,Lautaro Javier Martínez,Italian Serie A,Argentina,
202811,Damián Emiliano Martínez,English Premier League,Argentina,
224334,Marcos Javier Acuña,Spain Primera Division,Argentina,
201399,Mauro Emanuel Icardi Rivero,French Ligue 1,Argentina,
205632,Lucas Ariel Ocampos,Spain Primera Division,Argentina,
214997,Ángel Martín Correa,Spain Primera Division,Argentina,
178562,Éver Maximiliano David Banega,Saudi Abdul L. Jameel League,Argentina,
211256,Nicolás Alejandro Tagliafico,Holland Eredivisie,Argentina,
212616,Rodrigo Javier De Paul,Spain Primera Division,Argentina,
232488,Cristian Gabriel Romero,English Premier League,Argentina,
167664,Gonzalo Gerardo Higuaín,USA Major League Soccer,Argentina,
192366,Nicolás Hernán Gonzalo Otamendi,Portuguese Liga ZON SAGRES,Argentina,
201095,Agustín Federico Marchesín,Portuguese Liga ZON SAGRES,Argentina,
207439,Leandro Daniel Paredes,French Ligue 1,Argentina,
214979,Juan Agustín Musso,Italian Serie A,Argentina,
215330,Carlos Joaquín Correa,Italian Serie A,Argentina,
226226,Giovani Lo Celso,English Premier League,Argentina,
190972,Eduardo Antonio Salvio,Argentina Primera División,Argentina,
193061,Roberto Maximiliano Pereyra,Italian Serie A,Argentina,
196432,Enzo Nicolás Pérez,Argentina Primera División,Argentina,
205849,Esteban Maximiliano Andrada,Mexican Liga MX,Argentina,
214584,Franco Armani,Argentina Primera División,Argentina,
215223,Walter Daniel Benítez,French Ligue 1,Argentina,
215316,Gerónimo Rulli,Spain Primera Division,Argentina,
176919,Nahuel Ignacio Guzmán,Mexican Liga MX,Argentina,
188042,Matías Ezequiel Suárez,Argentina Primera División,Argentina,
192906,Luis Miguel Rodríguez,Argentina Primera División,Argentina,
226162,Emiliano Buendía,English Premier League,Argentina,
228520,Luis Ezequiel Ávila,Spain Primera Division,Argentina,
236506,Marcos Nicolás Senesi Barón,Holland Eredivisie,Argentina,
239301,Lisandro Martínez,Holland Eredivisie,Argentina,
170368,Erik Lamela,Spain Primera Division,Argentina,
173306,Cristian Daniel Ansaldi,Italian Serie A,Argentina,
191180,Javier Matías Pastore,Spain Primera Division,Argentina,
214766,Carlos Roberto Izquierdoz,Argentina Primera División,Argentina,
215353,Lucas Nicolás Alario,German 1. Bundesliga,Argentina,
224254,Cristian David Pavón,Argentina Primera División,Argentina,
225659,Guido Rodríguez,Spain Primera Division,Argentina,
231340,Gonzalo Ariel Montiel,Spain Primera Division,Argentina,
158963,Lucas Rodrigo Biglia,Turkish Süper Lig,Argentina,
172114,Diego Hernán Váleri,USA Major League Soccer,Argentina,
183899,Pablo Daniel Piatti,Spain Primera Division,Argentina,
188988,Manuel Lanzini,English Premier League,Argentina,
190577,Sebastián Marcelo Blanco,USA Major League Soccer,Argentina,
193601,Germán Alejandro Pezzella,Spain Primera Division,Argentina,
205186,Paulo Dino Gazzaniga,English League Championship,Argentina,
214977,Claudio Matías Kranevitter,Mexican Liga MX,Argentina,
215057,Iván José Marcone,Spain Primera Division,Argentina,
215071,Milton Casco,Argentina Primera División,Argentina,
215160,Fabrizio Germán Angileri,Argentina Primera División,Argentina,
217196,José Luis Palomino,Italian Serie A,Argentina,
219391,Gonzalo Escalante,Italian Serie A,Argentina,
219522,Jeremías Conan Ledesma,Spain Primera Division,Argentina,
220287,Juan Ignacio Dinenno De Cara,Mexican Liga MX,Argentina,
227275,Agustín Daniel Rossi,Argentina Primera División,Argentina,
227528,Braian Ezequiel Romero,Argentina Primera División,Argentina,
231521,Exequiel Alejandro Palacios,German 1. Bundesliga,Argentina,
234468,Emanuel Reynoso,USA Major League Soccer,Argentina,
236441,Fabricio Bustos Sein,Argentina Primera División,Argentina,
240690,Nicolás Iván González,Italian Serie A,Argentina,
143121,José Ernesto Sosa,Turkish Süper Lig,Argentina,
146963,Javier Horacio Pinola,Argentina Primera División,Argentina,
152916,Rubens Omar Óscar Sambueza,Mexican Liga MX,Argentina,
170719,Diego Mario Buonanotte Rende,Chilian Campeonato Nacional,Argentina,
179765,Emiliano Gabriel Vecchio,Argentina Primera División,Argentina,
188955,Gustavo Leonardo Bou,USA Major League Soccer,Argentina,
212715,Sebastián Alberto Palacios,Greek Super League,Argentina,
214781,Silvio Ezequiel Romero,Argentina Primera División,Argentina,
214988,Leonel Ariel Miranda,Argentina Primera División,Argentina,
215051,Lisandro Ezequiel López Dessypris,Argentina Primera División,Argentina,
215064,Julio César Furch,Mexican Liga MX,Argentina,
215108,Julio Alberto Buffarini,Spanish Segunda División,Argentina,
215119,Lucas Daniel Romero,Argentina Primera División,Argentina,
215270,Lucas Manuel Zelarayán,USA Major League Soccer,Argentina,
226377,Gonzalo Nicolás Martínez,Saudi Abdul L. Jameel League,Argentina,
228708,Lucas Martínez Quarta,Italian Serie A,Argentina,
228819,Matías Ezequiel Vargas Martín,Turkish Süper Lig,Argentina,
235008,Lucas Gastón Robertone,Spanish Segunda División,Argentina,
138703,Andrés Nicolás D'Alessandro,Uruguayan Primera División,Argentina,
142707,Lisandro López,Argentina Primera División,Argentina,
152912,José Gustavo Sand,Argentina Primera División,Argentina,
161938,Mauro Boselli,Paraguayan Primera División,Argentina,
165536,Gustavo Daniel Cabral Cáceres,Mexican Liga MX,Argentina,
171828,Ignacio Martín Scocco,Argentina Primera División,Argentina,
171975,Gonzalo Rubén Bergessio,Uruguayan Primera División,Argentina,
173030,Óscar Guido Trejo,Spain Primera Division,Argentina,
176376,Ignacio Piatti,Argentina Primera División,Argentina,
179847,Federico Julián Fazio,Italian Serie A,Argentina,
183895,Maximiliano Nicol Moralez,USA Major League Soccer,Argentina,
188268,Lautaro Germán Acosta,Argentina Primera División,Argentina,
201862,Faustino Marcos Alberto Rojo,Argentina Primera División,Argentina,
201988,Federico Fernández,English Premier League,Argentina,
207441,Luciano Darío Vietto,Saudi Abdul L. Jameel League,Argentina,
207471,Franco Damián Vázquez,Italian Serie B,Argentina,
207935,Matías Ezequiel Dituro,Spain Primera Division,Argentina,
207939,Guido Hernán Pizarro Demestri,Mexican Liga MX,Argentina,
210281,Cristian Alberto Pellerano,Ecuadorian Serie A,Argentina,
211267,Adrián Ricardo Centurión,Argentina Primera División,Argentina,
212541,Leonel Jesús Vangioni,Paraguayan Primera División,Argentina,
214763,Paolo Duval Goltz,Argentina Primera División,Argentina,
215061,Darío Ismael Benedetto,Spain Primera Division,Argentina,
215135,Leonardo Germán Sigali,Argentina Primera División,Argentina,
215147,Lautaro Daniel Gianetti,Argentina Primera División,Argentina,
215202,Lucas Ezequiel Janson,Argentina Primera División,Argentina,
215228,Cristian Franco Lema,Argentina Primera División,Argentina,
215251,Guido Gabriel Herrera,Argentina Primera División,Argentina,
216700,Maximiliano Eduardo Meza,Mexican Liga MX,Argentina,
216816,Giovanni Pablo Simeone,Italian Serie A,Argentina,
219576,Rodrigo Andrés Battaglia,Spain Primera Division,Argentina,
221053,Elías José Gómez,Argentina Primera División,Argentina,
221125,Sebastián Driussi,USA Major League Soccer,Argentina,
221634,Luciano Federico Acosta,USA Major League Soccer,Argentina,
222511,Luis Ezequiel Unsain,Argentina Primera División,Argentina,
223061,Franco Emanuel Cervi,Spain Primera Division,Argentina,
224065,Domingo Felipe Blanco,Argentina Primera División,Argentina,
224510,Walter Ariel Bou,Argentina Primera División,Argentina,
224796,Jorge Agustín Rodríguez,Argentina Primera División,Argentina,
226379,Marcos Guillermo Díaz,Argentina Primera División,Argentina,
227591,Alexis Pedro Canelo,Mexican Liga MX,Argentina,
229749,Alexander Nahuel Barboza Ullúa,Paraguayan Primera División,Argentina,
232670,Fernando Matías Zampedri,Chilian Campeonato Nacional,Argentina,
233029,Rodrigo Germán Aliendro,Argentina Primera División,Argentina,
235467,Damián Marcelino Moreno,USA Major League Soccer,Argentina,
236804,Facundo Axel Medina,French Ligue 1,Argentina,
237221,Juan Marcos Foyth,Spain Primera Division,Argentina,
237819,Nicolás Martín Domínguez,Italian Serie A,Argentina,
239837,Alexis Mac Allister,English Premier League,Argentina,
241026,Tomás Alejandro Chancalay,Argentina Primera División,Argentina,
244206,Patricio Nehuen Pérez,Italian Serie A,Argentina,
246191,Julián Álvarez,Argentina Primera División,Argentina,4
165560,Marco Gastón Ruben Rodríguez,Argentina Primera División,Argentina,
184252,Lucas David Pratto,Argentina Primera División,Argentina,
188938,Cristian Darío Álvarez,Spanish Segunda División,Argentina,
192371,Fabián Andrés Rinaudo,Argentina Primera División,Argentina,
199667,José Ramiro Funes Mori,Saudi Abdul L. Jameel League,Argentina,
200826,Mauro Daniel Quiroga,Mexican Liga MX,Argentina,
200875,Emmanuel Gigliotti,Mexican Liga MX,Argentina,
201953,Juan Manuel Sánchez Miño,Argentina Primera División,Argentina,
203864,Bruno Zuculini,Argentina Primera División,Argentina,
203872,Gabriel Agustín Hauche,Argentina Primera División,Argentina,
205633,Lucas Nahuel Castro,Turkish Süper Lig,Argentina,
207454,Patricio Julián Rodríguez,Liga de Fútbol Profesional Boliviano,Argentina,
211269,Guillermo Matías Fernández,Mexican Liga MX,Argentina,
214665,Juan Edgardo Ramírez,Argentina Primera División,Argentina,
214971,Francisco Andrés Pizzini,Argentina Primera División,Argentina,
215048,Javier Nicolás Burrai,Ecuadorian Serie A,Argentina,
215123,Alan Joaquín Aguerre,Argentina Primera División,Argentina,
215148,Mariano Ezequiel Bíttolo,Argentina Primera División,Argentina,
215157,Federico Eduardo Lértora,Argentina Primera División,Argentina,
215322,Jonathan Cristian Silva,Spain Primera Division,Argentina,
216033,Jorge Emanuel Broun,Argentina Primera División,Argentina,
216036,Rafael Marcelo Delgado,Argentina Primera División,Argentina,
216054,Nery Andrés Domínguez,Argentina Primera División,Argentina,
219536,Ignacio Pussetto,Italian Serie A,Argentina,
220148,Nicolás Orsini,Argentina Primera División,Argentina,
220715,Ezequiel Ponce Martínez,Russian Premier League,Argentina,
222041,Lucas Ariel Boyé,Spain Primera Division,Argentina,
223243,Víctor Emanuel Aguilera,Mexican Liga MX,Argentina,
223248,Juan Martín Lucero,Argentina Primera División,Argentina,
224348,Lucas Adrián Hoyos,Argentina Primera División,Argentina,
226382,Lucas Ariel Villarruel,Ecuadorian Serie A,Argentina,
226385,Cristian Omar Espinoza,USA Major League Soccer,Argentina,
226765,Lucas Emanuel Gamba,Argentina Primera División,Argentina,
227274,David Matías Barbona,Mexican Liga MX,Argentina,
227785,Cristian David Guanca,UAE Arabian Gulf League,Argentina,
231247,Braian Ezequiel Cufré,Spanish Segunda División,Argentina,
231524,Tomás Pochettino,USA Major League Soccer,Argentina,
232244,Santiago Lionel Ascacíbar,German 1. Bundesliga,Argentina,
232709,Damián Iván Batallini,Mexican Liga MX,Argentina,
234458,Carlos Gustavo Quintana,Argentina Primera División,Argentina,
235047,Jonathan Diego Menéndez,USA Major League Soccer,Argentina,
236007,Ezequiel Omar Barco,USA Major League Soccer,Argentina,
236527,Santiago Cáseres,Argentina Primera División,Argentina,
237604,Alan Javier Franco,USA Major League Soccer,Argentina,
242835,Leonardo Julián Balerdi Rossa,French Ligue 1,Argentina,
245371,Thiago Ezequiel Almada,Argentina Primera División,Argentina,
246045,Pedro De la Vega,Argentina Primera División,Argentina,
110381,Maximiliano Rubén Rodríguez,Argentina Primera División,Argentina,
153060,Juan Manuel Insaurralde,Argentina Primera División,Argentina,
165531,Víctor Ismael Sosa,Mexican Liga MX,Argentina,
167665,Nicolás Mario Domingo,Argentina Primera División,Argentina,
172018,Jonathan Ramón Maidana,Argentina Primera División,Argentina,
173857,Mariano Gonzalo Andújar,Argentina Primera División,Argentina,
186745,Matías Augusto Pérez García,Argentina Primera División,Argentina,
202331,Facundo Tomás Quignón,USA Major League Soccer,Argentina,
206152,Luciano Román Aued,Chilian Campeonato Nacional,Argentina,
207440,Franco Rodrigo Fragapane,USA Major League Soccer,Argentina,
208054,Leandro Miguel Fernández,Uruguayan Primera División,Argentina,
210814,Julián Alberto Velázquez,Argentina Primera División,Argentina,
212214,Augusto Jorge Mateo Solari,Spain Primera Division,Argentina,
213272,Lucas Abraham Chávez,Argentina Primera División,Argentina,
213581,Hugo Martín Nervo,Mexican Liga MX,Argentina,
214770,Diego Hernán González,Argentina Primera División,Argentina,
214955,Emmanuel Más Sgros,USA Major League Soccer,Argentina,
214968,Federico Andrés Mancuello,Argentina Primera División,Argentina,
214986,Fernando Nicolás Meza,Mexican Liga MX,Argentina,
215069,Rodrigo Francisco Jesús Rey,Argentina Primera División,Argentina,
215076,Lorenzo Abel Faravelli,Ecuadorian Serie A,Argentina,
215132,Sebastián Emanuel Moyano,Argentina Primera División,Argentina,
215332,Carlos Daniel Auzqui,Argentina Primera División,Argentina,
216692,Sebastián Alberto Torrico,Argentina Primera División,Argentina,
222428,Juan Cruz Komar,Argentina Primera División,Argentina,
223241,Marcelo Nicolás Benítez,Argentina Primera División,Argentina,
223593,Marcelo Javier Correa,Argentina Primera División,Argentina,
224461,Walter Iván Alexis Montoya,Mexican Liga MX,Argentina,
226378,Ramón Darío Ábila,USA Major League Soccer,Argentina,
227803,Leandro Emmanuel Martínez,Ecuadorian Serie A,Argentina,
228179,Alexis Castro,Argentina Primera División,Argentina,
228415,Leonardo Ezequiel Godoy,Argentina Primera División,Argentina,
229595,Lucas Ariel Rodríguez,Mexican Liga MX,Argentina,
232646,Claudio Nicolás Bravo,USA Major League Soccer,Argentina,
233084,Nahuel Molina Lucero,Italian Serie A,Argentina,
234100,Gonzalo Daniel Escobar,Spanish Segunda División,Argentina,
235176,Cristian Oscar Bernardi,Argentina Primera División,Argentina,
237122,Tomás Ezequiel Guidara,Argentina Primera División,Argentina,
238194,Nahuel Lautaro Bustos,Spanish Segunda División,Argentina,
238332,Enzo Nahuel Copetti,Argentina Primera División,Argentina,
240744,Martín Exequiel Ojeda,Argentina Primera División,Argentina,
240953,Facundo Nahuel Tenaglia,Argentina Primera División,Argentina,
242287,Francisco Gabriel Ortega,Argentina Primera División,Argentina,
244950,Juan Gabriel Rodríguez,Argentina Primera División,Argentina,
246423,Luca Nicolás Orellano,Argentina Primera División,Argentina,
246870,Enzo Hernán Díaz,Argentina Primera División,Argentina,
247090,Enzo Jeremías Fernández,Argentina Primera División,Argentina,
247150,Alex Vigo Gamaliel,Argentina Primera División,Argentina,
247450,Agustín Palavecino Lamela,Argentina Primera División,Argentina,
251132,Lucas Ezequiel Piovi,Ecuadorian Serie A,Argentina,
251886,Adonis Uriel Frías,Argentina Primera División,Argentina,
252238,Alan Agustín Velasco,Argentina Primera División,Argentina,
142962,Enrique Alberto Bologna Gómez,Argentina Primera División,Argentina,
152997,Darío Cvitanich,Argentina Primera División,Argentina,
156483,Cristian David Lucchetti,Argentina Primera División,Argentina,
167435,Óscar Alfredo Ustari,Mexican Liga MX,Argentina,
177299,Adrián José Gabbarini,Ecuadorian Serie A,Argentina,
184626,Nicolás Gabriel Sánchez,Argentina Primera División,Argentina,
186405,Franco Matías Di Santo,Argentina Primera División,Argentina,
192373,Milton Joel Caraglio,Argentina Primera División,Argentina,
198145,Sergio Ezequiel Araújo,Greek Super League,Argentina,
199387,Pablo Chavarría,Spanish Segunda División,Argentina,
204555,Ricardo Gabriel Álvarez,Argentina Primera División,Argentina,
213582,Alan Nahuel Ruiz,Argentina Primera División,Argentina,
214937,Lucas Hernán Villalba,Argentina Primera División,Argentina,
214973,Lucas Martín Villafáñez,Greek Super League,Argentina,
214983,Matías Alejandro Ibáñez Basualdo,Argentina Primera División,Argentina,
215010,Emanuel Brítez,Argentina Primera División,Argentina,
215050,Diego Luis Braghieri,Argentina Primera División,Argentina,
215062,Emilio José Zelaya,Saudi Abdul L. Jameel League,Argentina,
215079,Pablo Javier Pérez,Argentina Primera División,Argentina,
215089,Enzo Maximiliano Kalinski,Argentina Primera División,Argentina,
215144,Emanuel Mariano Insúa Zapata,Argentina Primera División,Argentina,
215162,Alejandro César Donatti,Argentina Primera División,Argentina,
215331,Leonardo Rafael Jara,Argentina Primera División,Argentina,
216019,Damián Marcelo Musto,Uruguayan Primera División,Argentina,
217805,Alexis Martín Arias,Chilian Campeonato Nacional,Argentina,
219167,Sergio Javier Vittor,Saudi Abdul L. Jameel League,Argentina,
219688,Marcos Mauro López Gutiérrez,Spain Primera Division,Argentina,
221250,Gerónimo Gastón Poblete,Argentina Primera División,Argentina,
222022,Leonel Di Plácido,Argentina Primera División,Argentina,
223097,Franco Sebastián Cristaldo,Argentina Primera División,Argentina,
223206,Cristian Jonatan Ortiz,Mexican Liga MX,Argentina,
223247,Nelson Fernando Acevedo,Argentina Primera División,Argentina,
223495,Iván Rossi,Portuguese Liga ZON SAGRES,Argentina,
224104,Damián Alberto Martínez,Argentina Primera División,Argentina,
226086,Ángel Emanuel Gonzalez,Argentina Primera División,Argentina,
226419,Fabián Héctor Sambueza,Colombian Liga Postobón,Argentina,
226772,Joaquín Marcelo Laso,Argentina Primera División,Argentina,
226797,Víctor Ignacio Malcorra,Argentina Primera División,Argentina,
226798,Mauricio Leonel Martínez,Argentina Primera División,Argentina,
231070,Bruno Alejandro Pittón,Argentina Primera División,Argentina,
232514,Horacio Gabriel Carabajal,Argentina Primera División,Argentina,
232729,Cristian Alberto Tarragona,Argentina Primera División,Argentina,
233372,Bautista Merlini,Paraguayan Primera División,Argentina,
233924,Maximiliano Alberto Lovera,Argentina Primera División,Argentina,
237248,Germán Berterame,Mexican Liga MX,Argentina,
240963,Juan Manuel García,Argentina Primera División,Argentina,
240970,Martín Ismael Payero,English League Championship,Argentina,
241025,Leonardo Matías Heredia,Argentina Primera División,Argentina,
241031,Facundo Tomás Garcés,Argentina Primera División,Argentina,
241607,Tomás Belmonte,Argentina Primera División,Argentina,
242571,Carlos Rodolfo Rotondi,Argentina Primera División,Argentina,
245138,Giuliano Galoppo,Argentina Primera División,Argentina,
246145,Ignacio Santiago Aliseda,USA Major League Soccer,Argentina,
246469,Agustín José Urzi,Argentina Primera División,Argentina,
251127,Fernando Torrent Guidi,Argentina Primera División,Argentina,
251139,Jesús Miguel Soraire,Argentina Primera División,Argentina,
252168,Miguel Marcelo Brizuela,Argentina Primera División,Argentina,
253012,Lautaro Alberto Morales,Argentina Primera División,Argentina,
253341,Richard Hernán Schunke,Ecuadorian Serie A,Argentina,
256287,Facundo Hernán Farías,Argentina Primera División,Argentina,
139064,Leonardo Daniel Ponzio,Argentina Primera División,Argentina,
142721,Marcelo Alberto Barovero,Mexican Liga MX,Argentina,
142762,Jonathan Pablo Bottinelli,Argentina Primera División,Argentina,
142966,Jesús Alberto Dátolo,Argentina Primera División,Argentina,
143587,Fernando Daniel Belluschi,Argentina Primera División,Argentina,
143598,Luciano Darío Pocrnjic,Argentina Primera División,Argentina,
167669,Federico Fernando Higuaín,USA Major League Soccer,Argentina,
176920,Miguel Ángel Torrén,Argentina Primera División,Argentina,
177537,Nicolás Santiago Bertolo,Argentina Primera División,Argentina,
178566,Javier Hernán García,Argentina Primera División,Argentina,
191488,Lucas Alfonso Orbán Alegre,Argentina Primera División,Argentina,
198347,Franco Daniel Jara,USA Major League Soccer,Argentina,
199669,Leandro Martín González Pírez,USA Major League Soccer,Argentina,
200653,Guillermo Enio Burdisso,Argentina Primera División,Argentina,
206154,Héctor Miguel Canteros,Argentina Primera División,Argentina,
210950,Pablo Ezequiel De Blasis,Spanish Segunda División,Argentina,
211263,Lisandro Magallán,Belgian Jupiler Pro League,Argentina,
211489,Jonathan David Gómez,Argentina Primera División,Argentina,
214659,Nicolás Omar Freire,Mexican Liga MX,Argentina,
214772,Nicolás Pasquini,Argentina Primera División,Argentina,
215015,Bruno Félix Bianchi Massey,Argentina Primera División,Argentina,
215070,Guillermo Luis Ortiz,Argentina Primera División,Argentina,
215117,Leandro Luis Desábato,Argentina Primera División,Argentina,
215165,Ciro Pablo Rius Aragallo,Argentina Primera División,Argentina,
215181,Gino Peruzzi Lucchetti,Argentina Primera División,Argentina,
215262,Fernando Andrés Márquez,Argentina Primera División,Argentina,
215334,Guido Marcelo Carrillo,Spain Primera Division,Argentina,
219174,Ramiro Ángel Carrera,Argentina Primera División,Argentina,
219452,Julián Rodrigo Fernández,Argentina Primera División,Argentina,
220128,Jonathan Ezequiel Cristaldo,Argentina Primera División,Argentina,
220609,Valentín Vada,Spanish Segunda División,Argentina,
221990,Yonathan Emanuel Cabral,Argentina Primera División,Argentina,
